int	string	uint	uint	string
FUnique()				PKEY1
排行，按性能高到低排序	显卡名字	天梯分	天梯分	清洗后的显卡名
Index	gpu_name	g3d_mark	g2d_mark	gpu_detail_collected
348	Radeon RX 480	8697	781	radeon rx480~radeon rx 580
349	Radeon RX 480	8697	781	radeon rx480~rx 590
350	Radeon RX 480	8697	781	radeonrx480
351	GeForce GTX 1660 Ti with Max-Q Design	8668	377	geforce gtx 1660 ti with max-q design
352	GeForce GTX 1660 Ti with Max-Q Design	8668	377	geforcegtx1660tiwithmax-qdesign
353	Quadro RTX 3000 with Max-Q Design	8631	347	quadro rtx 3000 with max-q design
354	Radeon R9 295X2	8599	797	radeon r9 295x2
355	Radeon R9 295X2	8599	797	asus r9 295x2
356	Radeon Ryzen 9 4900HS	8572	378	radeon ryzen 9 4900hs
357	Radeon R9 290	8414	791	radeon r9 290
358	Quadro P3200	8391	507	quadro p3200
359	Radeon R9 290X / 390X	8389	699	radeon r9 290x / 390x
360	Radeon R9 290X / 390X	8389	699	radeon r9 290x~radeon r9 390
361	Radeon Pro 5500 XT	8355	627	radeon pro 5500 xt
362	Radeon Pro Duo	8324	715	radeon pro duo
363	Tesla P4	8230	368	tesla p4
364	GeForce GTX 1060 (Mobile)	8161	444	geforce gtx 1060 mobile
365	GeForce GTX 1060 (Mobile)	8161	444	geforce gtx 1060m
366	GeForce GTX Titan	8150	630	geforce gtx titan
367	Radeon R9 290 / 390	8150	695	radeon r9 290 / 390
368	Radeon R9 290 / 390	8150	695	asus r9 290
369	Quadro K6000	8113	547	quadro k6000
370	Radeon RX 470/570	8099	730	radeon rx 470/570
371	Radeon RX 470/570	8099	730	asus radeon rx 470
372	Radeon RX 470/570	8099	730	asus radeon rx 570
373	Radeon RX 470/570	8099	730	radeon rx 470
374	Radeon RX 470/570	8099	730	radeon rx 470 ~rx 580
375	Radeon RX 470/570	8099	730	radeon rx 570
376	GeForce GTX 780	8051	598	geforce gtx 780
377	Radeon Pro WX 7100	7988	810	radeon pro wx 7100
378	GeForce GTX 1060 with Max-Q Design	7950	422	geforce gtx 1060 with max-q design
379	GeForce GTX 1060 with Max-Q Design	7950	422	geforcegtx1060withmax-qdesign
380	Ryzen 5 4600HS with Radeon Graphics	7942	447	ryzen 5 4600hs
381	FirePro W9100	7928	776	firepro w9100
382	Radeon RX 580 2048SP	7921	650	radeon rx 580 2048sp
383	Radeon RX 580 2048SP	7921	650	asus radeon rx 580 2048sp
384	Radeon RX 580 2048SP	7921	650	radeon rx580 2048sp
385	Radeon RX 580 2048SP	7921	650	radeonrx5802048sp
386	Quadro M5500	7915	698	quadro m5500
387	GeForce GTX 1650	7839	588	geforce gtx 1650
388	GeForce GTX 1650	7839	588	geforcegtx1650
389	Radeon RX 580X	7798	885	radeon rx 580x
390	Tesla M60	7771	563	tesla m60
391	Radeon Pro 580	7753	943	radeon pro 580
392	Radeon Pro 580	7753	943	radeonpro580
393	T1200 Laptop GPU	7710	427	t1200 laptop
394	T1000	7702	867	t1000
395	Radeon RX 5600M	7653	515	radeon rx 5600m
396	T1000 8GB	7546	852	t1000 8gb
397	Radeon Pro 580X	7540	698	radeon pro 580x
398	GeForce GTX 1650 Ti	7513	397	geforce gtx 1650 ti
399	Tesla M6	7509	441	tesla m6
400	Radeon Pro 5300	7493	651	radeon pro 5300
401	GeForce GTX 980M	7373	508	geforce gtx 980m
402	GeForce GTX 980M	7373	508	geforce gtx980m
403	GeForce GTX 980M	7373	508	geforcegtx980m
404	FirePro W8100	7313	737	firepro w8100
405	FirePro W8100	7313	737	firepro w8100 graphic
406	Radeon RX 6400	7302	735	radeon rx 6400
407	Radeon RX 5300	7298	790	radeon rx 5300
408	Tesla P100-PCIE-16GB	7225	572	tesla p100-pcie-16gb
409	Quadro T2000	7204	476	quadro t2000
410	Quadro P2000	7061	677	quadro p2000
411	Quadro P2000	7061	677	quadrop2000
